thn,reviewer_id,places,places_count
2025,110046320366141568408,picu,1
2025,108670662579000158768,poli,1
2025,109093991063892214596,parkir,1
2025,111385796036019085836,igd,1
2025,107997758326233762774,apotek,1
2025,107997758326233762774,parkir,1
2025,101393392961599210763,poli,1
2025,101393392961599210763,poli anak,1
2025,105132432045727153590,poli,1
2025,105132432045727153590,poli kulit,1
2025,117465927416697633738,bpjs kesehatan,1
2025,117465927416697633738,poli,5
2025,117465927416697633738,poli urologi,5
2025,117465927416697633738,rsud kota mataram,7
2025,117465927416697633738,urologi,8
2025,101796006888494125139,irna,2
2025,101796006888494125139,kamar,7
2025,101796006888494125139,ruang rawat inap,2
2025,101796006888494125139,ugd,1
2025,101796006888494125139,zona hijau,1
2025,101796006888494125139,zona kuning,2
2025,104507441059908994525,loket,1
2025,114253291625065129687,parkir,1
2025,114305322861647114441,poli,1
2025,114305322861647114441,poli khusus,1
2025,113951398805396315677,poli,1
2025,113951398805396315677,poli anak,1
2025,109427271412592215646,toilet,2
2025,115482175594544512402,bank darah,1
2025,112280921294796954962,nicu,3
2025,112280921294796954962,ruangan,1
2025,101388639437441881731,nicu,5
2024,118248825759705771901,poli,2
2024,118248825759705771901,poli urologi,1
2024,118248825759705771901,urologi,1
2024,110214615746654939971,loket,2
2024,112177331850159664652,apotik,1
2024,115840950520255303742,ruang vip,1
2024,115840950520255303742,vip,2
2024,118279253316984984737,depo farmasi,1
2024,118279253316984984737,farmasi,1
2024,117349216533266434294,lobby,1
2024,117349216533266434294,mushalla,1
2024,117349216533266434294,vip,1
2024,106388529014257051522,irna,1
2024,106024699818034465479,igd,2
2024,106024699818034465479,ruang isolasi,1
2024,107477364685951685587,apotek,1
2024,104165428139990582980,manajemen,1
2024,104165428139990582980,nicu,1
2024,104165428139990582980,parkir,2
2024,104165428139990582980,ugd,3
2024,109521143549451483820,igd,1
2024,102418824012994409488,apotek,1
2024,105887385634130665985,rsud kota mataram,1
2024,105887385634130665985,wc,3
2024,109443200960466366666,icu,1
2024,109443200960466366666,picu,1
2024,114407902045440079474,laboratorium,1
2024,108135135332414632566,ugd,1
2024,102659191292625684316,mcu,1
2024,108222375640390728289,parkir,3
2024,118264643261545704622,igd,1
2024,115590010079272417269,poli,1
2024,113012003606037287603,reservasi,1
2024,116011707012788793609,poli,2
2024,106192653845520831669,lobby,1
2024,106192653845520831669,parkir,3
2024,108850988026426824935,kamar,2
2024,115518898029155042807,farmasi,1
2024,104104269190389176497,rsud kota mataram,3
2024,109186804647845325632,apotik,1
2024,106303465602660946917,igd,2
2024,106303465602660946917,rsud kota mataram,1
2024,106046143361324551172,rsud kota mataram,1
2024,101857508160538302504,rsud kota mataram,3
2024,101857508160538302504,ruangan,1
2024,114510333707196629026,rsud kota mataram,3
2024,114510333707196629026,ruang isolasi,1
2024,110822825861572941249,kamar,1
2024,110822825861572941249,ruangan,1
2024,103912605587166176380,ruang tunggu,1
2024,103731299494975203575,kamar,1
2024,107934654021734062754,kamar,1
2024,107934654021734062754,rsud kota mataram,2
2024,109869836753134622411,kamar,1
2024,109369065433814745036,rsud kota mataram,1
2024,109855739557925327421,rsud kota mataram,4
2024,102289592817084603513,kamar,1
2024,102289592817084603513,ruangan,1
2024,112562794904742531193,farmasi,1
2024,112562794904742531193,igd,1
2024,112562794904742531193,kamar,1
2024,112562794904742531193,rsud kota mataram,1
2024,112562794904742531193,ugd,1
2024,102927523626392127442,rsud kota mataram,1
2024,104090644695832838641,igd,1
2024,117345352290560131148,igd,1
2024,106785158324364048259,administrasi,1
2024,100774440955065619401,administrasi,1
2024,100774440955065619401,poli,1
2024,100774440955065619401,poli eksekutif,1
2024,103206989645744847591,ugd,1
2024,103206989645744847591,usg,2
2024,109732013136044039152,igd,1
2024,106017614189714646736,ugd,1
2024,117137125929391224386,kamar,2
2024,117137125929391224386,parkir,3
2024,117137125929391224386,ruangan,3
2024,117137125929391224386,vip,2
2024,105688701373175814345,apotik,1
2024,105481578666653461178,parkir,1
2024,111743500650516951058,igd,6
2024,111743500650516951058,parkir,1
2024,111743500650516951058,radiologi,4
2024,111743500650516951058,rsud kota mataram,1
2024,111743500650516951058,zona hijau,1
2024,102969615521161536325,icu,1
2024,102969615521161536325,igd,2
2024,102969615521161536325,irna,1
2024,102969615521161536325,ruangan,1
2024,102969615521161536325,zona kuning,1
2024,107705609389938750131,pendaftaran eksekutif,1
2024,114179515927112541239,rsud kota mataram,1
2024,113022219965204022995,poli,4
2024,113022219965204022995,poli gigi,1
2024,103406106393286804828,poli,1
2024,105275955140227888609,igd,1
2024,105275955140227888609,laboratorium,1
2024,111709799879263175882,urologi,1
2024,116549425228912536402,masjid,2
2024,109255454588359690156,igd,1
2024,109255454588359690156,rsud kota mataram,1
2024,109255454588359690156,ruang nifas,1
2024,117458405869854776174,poli,1
2023,112692945439711154116,rsud kota mataram,1
2023,106769893621646077184,cs,1
2023,103989479196072819946,farmasi,1
2023,101478714385153216575,rsud kota mataram,1
2023,113786848574506266807,rsud kota mataram,1
2023,114628757027200030126,rsud kota mataram,1
2023,101071036406426220351,administrasi,1
2023,103997988766062068926,manajemen,1
2023,100528187058566024383,rsud kota mataram,1
2023,115545533333690401382,rsud kota mataram,1
2023,101296342825986169634,rsud kota mataram,1
2023,112452986782968565236,rsud kota mataram,1
2023,103626311437244927214,rsud kota mataram,1
2023,115026184298113423760,graha,1
2023,108230234616882802941,icu,1
2023,108230234616882802941,igd,2
2023,116950231140885861315,poli,1
2023,100632367449776083959,poli,2
2023,100632367449776083959,poli eksekutif,1
2023,115103986472773021282,radiologi,1
2023,115103986472773021282,usg,1
2023,111788308928364037811,cs,2
2023,108896470047790010121,administrasi,1
2023,114323043613594998057,poli,1
2023,110760094143861921995,rsud kota mataram,1
2023,106567033244410579729,igd,1
2023,106567033244410579729,poli,1
2023,106567033244410579729,ruang rawat inap,1
2023,108876625121993832895,kamar,1
2023,108876625121993832895,vip,1
2023,110417248244804211834,administrasi,1
2023,110417248244804211834,igd,2
2023,110417248244804211834,parkir,1
2023,110417248244804211834,rsud kota mataram,1
2023,110417248244804211834,ruang tunggu,1
2023,110417248244804211834,ruangan,2
2023,113490393694258903877,parkir,1
2023,113490393694258903877,poli,2
2023,113490393694258903877,poli gigi,1
2023,101055941788433641821,okupasi,1
2023,112195911021512550168,vip,1
2023,114982531412357230956,cs,1
2022,118040617847261559610,parkir,1
2022,104280266853157429561,igd,1
2022,104280266853157429561,ruangan,1
2022,109866013066536980112,kamar,1
2022,115862552715548596716,igd,1
2022,104755898366749897761,igd,1
2022,104755898366749897761,lift,1
2022,104755898366749897761,poli,1
2022,115906797717552235822,administrasi,5
2022,102210812292332533613,graha,1
2022,103606573982587725474,loket,2
2022,103606573982587725474,poli,2
2022,110417019015756240801,administrasi,1
2022,116422314693866166169,parkir,1
2021,103351119153597124358,parkir,1
2021,116080024614520056723,ugd,1
2021,109035535569864900816,administrasi,1
2021,105579912897897315408,kamar,1
2021,116693238595206875404,parkir,1
2021,109278523954842845478,igd,1
2021,117309584748370827593,ruangan,2
2021,117309584748370827593,stroke centre,1
2021,117309584748370827593,ugd,1
2020,106820596922136232308,loket,2
2020,106820596922136232308,poli,2
2020,103789469752375244721,poli,1
2020,103789469752375244721,poli bedah,1
2020,105939787247983823436,poli,1
2020,106932095060046986497,ruang vip,2
2020,106932095060046986497,ugd,1
2020,106932095060046986497,vip,6
2020,106922725592613739534,parkir,1
2020,102714247273428406064,manajemen,1
2020,102200201030920384648,igd,1
2019,110844651091542380956,parkir,1
2019,104410286718669852466,loket,1
2019,114670752107671002490,manajemen,1
2019,107396628862417932720,kamar,1
2019,107396628862417932720,parkir,1
2019,107396628862417932720,rsud kota mataram,1
2019,107396628862417932720,ruangan,2
2019,107396628862417932720,toilet,1
2019,107396628862417932720,wc,1
2018,111739838539145709844,hemodialisa,1
2018,105975947630832324026,hyperbaric,1
2018,105975947630832324026,parkir,1
2018,105975947630832324026,rsud kota mataram,1
2018,111611313198432405383,customer service,1
2018,103684110000024205021,ruang tunggu,1
2018,103684110000024205021,ruang vip,1
2018,103684110000024205021,vip,1
2018,103684110000024205021,vvip,1
2018,110926769159927567004,ruang tunggu,1
2018,110926769159927567004,vip,2
2018,116753172250149217340,parkir,1
2018,113274996754213408948,parkir,1
2018,102587589896331623280,igd,1
2018,105032758915252273239,vip,1
2018,109984488441356514481,parkir,1
2017,101009388156704028679,ruangan,1
2017,106976252938059859765,loket,1
2017,106976252938059859765,parkir,1
2016,102748667257031389807,ruangan,1
2015,116963147428083165216,ruangan,1
